#    L    TT             EE             BB             TE          
   136   0.389398E+04   0.111303E+01   0.609823E-02  -0.430702E+02
   137   0.392820E+04   0.111472E+01   0.619352E-02  -0.433977E+02
   138   0.396237E+04   0.111593E+01   0.628974E-02  -0.437065E+02
   139   0.399646E+04   0.111664E+01   0.638690E-02  -0.439963E+02
   140   0.403050E+04   0.111686E+01   0.648500E-02  -0.442666E+02
   141   0.406446E+04   0.111661E+01   0.658406E-02  -0.445170E+02
   142   0.409832E+04   0.111587E+01   0.668406E-02  -0.447471E+02
   143   0.413210E+04   0.111464E+01   0.678502E-02  -0.449564E+02
   144   0.416576E+04   0.111294E+01   0.688695E-02  -0.451447E+02
   145   0.419932E+04   0.111075E+01   0.698985E-02  -0.453113E+02
   146   0.423273E+04   0.110810E+01   0.709372E-02  -0.454560E+02
   147   0.426600E+04   0.110499E+01   0.719857E-02  -0.455784E+02
   148   0.429910E+04   0.110142E+01   0.730440E-02  -0.456780E+02
   149   0.433203E+04   0.109739E+01   0.741121E-02  -0.457545E+02
   150   0.436477E+04   0.109293E+01   0.751902E-02  -0.458074E+02
   151   0.439730E+04   0.108802E+01   0.762783E-02  -0.458364E+02
   152   0.442962E+04   0.108269E+01   0.773763E-02  -0.458413E+02
   153   0.446173E+04   0.107695E+01   0.784843E-02  -0.458217E+02
   154   0.449361E+04   0.107080E+01   0.796024E-02  -0.457775E+02
   155   0.452526E+04   0.106426E+01   0.807305E-02  -0.457084E+02
   156   0.455670E+04   0.105734E+01   0.818688E-02  -0.456141E+02
   157   0.458789E+04   0.105004E+01   0.830172E-02  -0.454944E+02
   158   0.461884E+04   0.104240E+01   0.841757E-02  -0.453491E+02
   159   0.464954E+04   0.103441E+01   0.853445E-02  -0.451780E+02
   160   0.467998E+04   0.102610E+01   0.865234E-02  -0.449809E+02
   161   0.471014E+04   0.101748E+01   0.877125E-02  -0.447575E+02
   162   0.474001E+04   0.100857E+01   0.889118E-02  -0.445077E+02
   163   0.476959E+04   0.999388E+00   0.901213E-02  -0.442312E+02
   164   0.479884E+04   0.989945E+00   0.913411E-02  -0.439280E+02
   165   0.482777E+04   0.980262E+00   0.925711E-02  -0.435978E+02
